"PrimaryKey","YearVisited","Shape"
"CA_BIFO_LUP_2023_BIFO2023-022_V22023-09-01",2023,c(NA, NA)
"ID_OFO_LUP_2022_BigWD-2022-066_V22023-09-01",2023,c(NA, NA)
"20234137402604B2",2023,c(NA, NA)
"CA_CDCA_LUP_2022_CRCD2022-155_V12023-09-01",2023,c(NA, NA)
"NM_RFO_LUP_2023_RFO2023-024_V12023-09-01",2023,c(NA, NA)
"ID_SAFO_LUP_2023_SAFO2023-041_V22023-09-01",2023,c(NA, NA)
"MT_SDFO_LUP_2022_SDFO2022-062_V12023-09-01",2023,c(NA, NA)
"AZ_KFO_FUEL_2023_Browse-03_V12023-09-01",2023,c(NA, NA)
"UT_VFO_HAF_2022_GRSG_HAB-082_V12023-09-01",2023,c(NA, NA)
"OR_BOFO_Fuels_2023_ApachESR-10_V12023-09-01",2023,c(NA, NA)
"WY_COFO_LUP_2022_COFO2022-021_V22023-09-01",2023,c(NA, NA)
"UT_CCFO_INTS_PANG_2023_BaldHills_2023-15_V12023-09-01",2023,c(NA, NA)
"CO_KFO_INT_BOLTDRW_2021_Bolton-Draw-T3_V32023-09-01",2023,c(NA, NA)
"20231673103204B2",2023,c(NA, NA)
"OR_VADO_ESR_2023_IndianCrk_NR-01_V22023-09-01",2023,c(NA, NA)
"MT_NCMD_LUP_2022_WWI-397_V12023-09-01",2023,c(NA, NA)
"AZ_SFO_LUP_2021_SFO2021-178_V12023-09-01",2023,c(NA, NA)
"ID_OFO_LUP_2022_LowCM-2022-138_V12023-09-01",2023,c(NA, NA)
"2023321203919B1",2023,c(NA, NA)
"2023625200110B2",2023,c(NA, NA)
"CO_TRFO_LUP_2023_TRFO2023-018_V22023-09-01",2023,c(NA, NA)
"ID_SHFO_LUP_2023_SD-005_V22023-09-01",2023,c(NA, NA)
"20235635106912B2",2023,c(NA, NA)
"20233233109115B2",2023,c(NA, NA)
"CO_UFO_LUP_2023_UFO2023-NR-029_V12023-09-01",2023,c(NA, NA)
"CA_RDFO_Fuels_2023_Westside-Fuels-Mod-03_V12023-09-01",2023,c(NA, NA)
"WY_WFO_Targeted_2023_WFO2022-T-001_V12023-09-01",2023,c(NA, NA)
"UT_GSENM_INTS_2021_GSENM2021-085_V12023-09-01",2023,c(NA, NA)
"CO_SWDO_Fuels_2022_Sapinero_Mesa-4_V12023-09-01",2023,c(NA, NA)
"OR_VADO_ESR_2023_WILLOW_CRK-AS-04_V12023-09-01",2023,c(NA, NA)
"OR_VADO_ESR_2023_BWD_AS-09_V22023-09-01",2023,c(NA, NA)
"MT_NCMD_LUP_2022_LR-801_V12023-09-01",2023,c(NA, NA)
"NM_LCDO_LUP_MIMBRES_2019_MIMB-231_V12023-09-01",2023,c(NA, NA)
"ID_BFO_ModHAF_2022_TindallReservoirField-169_V12023-09-01",2023,c(NA, NA)
"OR_VADO_Fuels_2023_NWM-2023-WCL-02_V12023-09-01",2023,c(NA, NA)
"202349201807B1",2023,c(NA, NA)
"CO_SWDO_Fuels_2022_AnimasCityMountain-03_V22023-09-01",2023,c(NA, NA)
"UT_SLFO_INTS_PRKVLY_2023_ParkValley23-9_V12023-09-01",2023,c(NA, NA)
"20235637101306B1",2023,c(NA, NA)
"UT_CoCDO_INTS_HPV_2023_Hamlin_PineValley2023-4_V12023-09-01",2023,c(NA, NA)
"CO_SWDO_ESR_2022_HunterSeedMix-69_V32023-09-01",2023,c(NA, NA)
"CA_NCDO_LUP_2019_Observation415_V22023-09-01",2023,c(NA, NA)
"WY_BFO_LUP_2022_BFO2022-NR-057_V12023-09-01",2023,c(NA, NA)
"2023671204801B2",2023,c(NA, NA)
"CO_RGFO_LUP_2022_PJ-NR-008_V12023-09-01",2023,c(NA, NA)
"20233213105515B1",2023,c(NA, NA)
"OR_BUDO_2021_BDO2021-130_V22023-09-01",2023,c(NA, NA)
"2023567102716B2",2023,c(NA, NA)
"20233221204311B1",2023,c(NA, NA)
"20231625200109B3",2023,c(NA, NA)
"CA_NCDO_LUP_2019_NORCALNONR1051_V12023-09-01",2023,c(NA, NA)
"MT_MCFO_LUP_2023_MCFO2022-103_V12023-09-01",2023,c(NA, NA)
"NM_RFO_LUP_2023_RFO2023-028_V12023-09-01",2023,c(NA, NA)
"20231637102603B1",2023,c(NA, NA)
"MT_SDFO_LUP_2022_SDFO2022-079_V12023-09-01",2023,c(NA, NA)
"AZ_ASDO_LUP_2021_ASDO2021-126_V12023-09-01",2023,c(NA, NA)
"UT_VFO_HAF_2022_GRSG_HAB-078_V12023-09-01",2023,c(NA, NA)
"UT_SLFO_LUP_2022_SLFO2022-070_V12023-09-01",2023,c(NA, NA)
"CO_LSFO_LUP_2021_LSFO-NR-063_V12023-09-01",2023,c(NA, NA)
"20234915202619B2",2023,c(NA, NA)
"CO_KFO_LUP_2021_KFO2021-083_V22023-09-01",2023,c(NA, NA)
"2023327108801B2",2023,c(NA, NA)
"20234125282820B3",2023,c(NA, NA)
"MT_NCMD_LUP_2022_S15-570_V12023-09-01",2023,c(NA, NA)
"CA_NEFO_Grazing_2023_Control-22_V12023-09-01",2023,c(NA, NA)
"20231673200810B1",2023,c(NA, NA)
"CA_NCDO_LUP_2019_NORCALRV1364_V12023-09-01",2023,c(NA, NA)
"2023671200313B1",2023,c(NA, NA)
"NM_CFO_LUP_2019_ChiStatic-232_V12023-09-01",2023,c(NA, NA)
"MT_DFO_WTRSHD_2023_SC-007_V22023-09-01",2023,c(NA, NA)
"MT_MCFO_AIMLite_2023_KnowltonPHXI_V22023-09-01",2023,c(NA, NA)
"AZ_ASDO_LUP_2021_ASDO2021-139_V12023-09-01",2023,c(NA, NA)
"UT_VFO_HAF_2022_GRSG_HAB-060_V12023-09-01",2023,c(NA, NA)
"MT_DFO_WTRSHD_2023_SC-004_V22023-09-01",2023,c(NA, NA)
"WY_PFO_LUP_2022_PFO2022-NR-026_V12023-09-01",2023,c(NA, NA)
"UT_FFO_LUP_2022_FFO2022-038_V12023-09-01",2023,c(NA, NA)
"CO_SWDO_Fuels_2022_Red_Creek-07_V12023-09-01",2023,c(NA, NA)
"ID_OFO_LUP_2022_LowCM-2022-NR-004_V12023-09-01",2023,c(NA, NA)
"OR_VADO_ESR_2023_IndianCrk_AS-02_V22023-09-01",2023,c(NA, NA)
"MT_NCMD_LUP_2022_MLT-098_V12023-09-01",2023,c(NA, NA)
"20233513201509B2",2023,c(NA, NA)
"OR_VADOPAC_2021_SC-190_V12023-09-01",2023,c(NA, NA)
"OR_WFO_ESR_2023_BattCont-04_V12023-09-01",2023,c(NA, NA)
"AZ_HFO_WTRSHD2_2023_HFO2023-26_V12023-09-01",2023,c(NA, NA)
"CO_SWDO_Fuels_2022_SimsMesa2-50_V22023-09-01",2023,c(NA, NA)
"ID_USFO_LUP_2023_USFO2023-033_V22023-09-01",2023,c(NA, NA)
"WY_RSFO_LUP_2023_RSFO2023-020_V22023-09-01",2023,c(NA, NA)
"20234927200116B1",2023,c(NA, NA)
"CO_GJFO_LUP_2021_GJFO2021-090_V22023-09-01",2023,c(NA, NA)
"CA_ELFO_NHorse_2023_Ravendale-AMP-3_V22023-09-01",2023,c(NA, NA)
"MT_MCFO_LUP_2023_MCFO2022-096_V12023-09-01",2023,c(NA, NA)
"UT_KFO_LUP_2016_Shrubland-235_V12023-09-01",2023,c(NA, NA)
"CO_GFO_LUP_2020_HMP-02_V22023-09-01",2023,c(NA, NA)
"ID_OFO_AIMTrend_2023_02S03W30_V12023-09-01",2023,c(NA, NA)
"20234145313936B3",2023,c(NA, NA)
"MT_NCMD_LUP_2022_C-741_V12023-09-01",2023,c(NA, NA)
"NM_RPFO_LUP_2022_RPFO2022-094_V12023-09-01",2023,c(NA, NA)
"ID_BFO_LUP_2022_BigWD-NR-003_V12023-09-01",2023,c(NA, NA)
"OR_PVDO_2021_PDO2021-055_V12023-09-01",2023,c(NA, NA)
"AZ_SFO_LUP_2021_SFO2021-163_V12023-09-01",2023,c(NA, NA)
"NM_FFO_LUP_2020_BDLD-048_V12023-09-01",2023,c(NA, NA)
"ID_PFO_LUP_2023_PFO2023-025_V22023-09-01",2023,c(NA, NA)
"UT_VFO_HAF_2022_GRSG_HAB-073_V12023-09-01",2023,c(NA, NA)
"20233223108214B1",2023,c(NA, NA)
"CO_UFO_LUP_2023_UFO2023-010_V22023-09-01",2023,c(NA, NA)
"CA_ELFO_BeckF_2022_Beckwourth05_V22023-09-01",2023,c(NA, NA)
"WY_WFO_LUP_2022_WFO2022-046_V22023-09-01",2023,c(NA, NA)
"2023625203413B2",2023,c(NA, NA)
"NM_TFO_LUP_2021_TC-NR-018_V12023-09-01",2023,c(NA, NA)
"2023327104118B3",2023,c(NA, NA)
"20234125242407B2",2023,c(NA, NA)
"CO_KFO_LUP_2021_KFO2021-108_V22023-09-01",2023,c(NA, NA)
"20233223202018B2",2023,c(NA, NA)
"ID_BUFO_LUP_2021_SEED-101_V12023-09-01",2023,c(NA, NA)
"CA_AGFO_Mosq_2023_Mosquito1-12_V12023-09-01",2023,c(NA, NA)
"2023413202010B2",2023,c(NA, NA)
"NM_SFO_LUP_2020_SAND-359_V12023-09-01",2023,c(NA, NA)
"MT_DFO_WTRSHD_2023_SC-042_V12023-09-01",2023,c(NA, NA)
"MT_SDFO_Fuels_2023_ExemptionArea-06_V12023-09-01",2023,c(NA, NA)
"UT_SGFO_LUP_2022_SGFO2022-080_V12023-09-01",2023,c(NA, NA)
"CO_WRFO_LUP_2021_WRFO2021-157_V22023-09-01",2023,c(NA, NA)
"OR_VADO_Fuels_2023_BH-2023-ST-PS-01_V12023-09-01",2023,c(NA, NA)
"20235637100302B1",2023,c(NA, NA)
"UT_RFO_LUP_2023_RFO2023-036_V12023-09-01",2023,c(NA, NA)
"CO_KFO_LUP_2021_KFO2021-145_V12023-09-01",2023,c(NA, NA)
"2023327202219B1",2023,c(NA, NA)
"20234125313201B2",2023,c(NA, NA)
"MT_BFO_AIMLite_2023_Ellis_Basin_V12023-09-01",2023,c(NA, NA)
"CA_CDCA_LUP_2022_CRCD2022-150_V12023-09-01",2023,c(NA, NA)
"ID_OFO_AIMTrend_2023_04S03W19_V12023-09-01",2023,c(NA, NA)
"CA_NCDO_LUP_2019_WallCanyonWest334_V22023-09-01",2023,c(NA, NA)
"AZ_KFO_LUP_2021_KFO2021-071_V12023-09-01",2023,c(NA, NA)
"UT_MFO_LUP_2019_MSHWMS-312_V12023-09-01",2023,c(NA, NA)
"20231643103110B2",2023,c(NA, NA)
"20235623107208B2",2023,c(NA, NA)
"2023323201203B2",2023,c(NA, NA)
"CO_WRFO_LUP_2021_WRFO2021-NR-038_V12023-09-01",2023,c(NA, NA)
"ID_CHFO_LUP_2023_CHFO2023-030_V22023-09-01",2023,c(NA, NA)
"2023563102211B1",2023,c(NA, NA)
"UT_CoCDO_HAF_2018_SH-288_V12023-09-01",2023,c(NA, NA)
"CO_CRVFO_LHA_2023_8334-02_V12023-09-01",2023,c(NA, NA)
"20231675201014B2",2023,c(NA, NA)
"20234145313802B1",2023,c(NA, NA)
"MT_NCMD_LUP_2022_PB-170_V12023-09-01",2023,c(NA, NA)
"NM_LCDO_LUP_MIMBRES_2019_MIMB-179_V12023-09-01",2023,c(NA, NA)
"ID_OFO_AIMTrend_2023_07S05W12_V12023-09-01",2023,c(NA, NA)
"OR_WFO_ESR_2023_RG-428_V32023-09-01",2023,c(NA, NA)
"AZ_TFO_LUP_2020_IRW-087_V12023-09-01",2023,c(NA, NA)
"2023885201110B1",2023,c(NA, NA)
"20231663101612B2",2023,c(NA, NA)
"WY_RSFO_LUP_2023_RSFO2023-042_V22023-09-01",2023,c(NA, NA)
"UT_CoCDO_INTS_HPV_2023_Hamlin_PineValley2023-21_V12023-09-01",2023,c(NA, NA)
"CO_SWDO_ESR_2022_SieberSeeded-53_V32023-09-01",2023,c(NA, NA)
"CA_NCDO_LUP_2019_EastBaldMountain304_V22023-09-01",2023,c(NA, NA)
"23053010053710802023-09-01",2023,c(NA, NA)
"20234917203606B1",2023,c(NA, NA)
"CO_RGFO_LUP_2022_FO-NR-007_V12023-09-01",2023,c(NA, NA)
"ID_BDO_TriStateFuels_2023_FY23-086_V12023-09-01",2023,c(NA, NA)
"OR_BUDO_2021_BDO2021-NR-052_V12023-09-01",2023,c(NA, NA)
"MT_NCMD_LUP_2022_SEP-592_V12023-09-01",2023,c(NA, NA)
"NM_SFO_LUP_2020_FUP-174_V12023-09-01",2023,c(NA, NA)
"ID_CHFO_LUP_2023_CHFO2023-015_V22023-09-01",2023,c(NA, NA)
"WY_NFO_LUP_2022_NFO2022-NR-060_V12023-09-01",2023,c(NA, NA)
"AZ_TFO_RANGE_2023_TB-083_V22023-09-01",2023,c(NA, NA)
"NM_FFO_LUP_2020_LOAM-235_V12023-09-01",2023,c(NA, NA)
"UT_WDDO_HAF_2022_WDDOHAF2022-041_V12023-09-01",2023,c(NA, NA)
"WY_RSFO_RC_2023_RSFO2023-RC-3-05_V12023-09-01",2023,c(NA, NA)
"20234923202101B1",2023,c(NA, NA)
"UT_PFO_LUP_2023_PFO2023-NR-019_V12023-09-01",2023,c(NA, NA)
"CA_NCDO_LUP_2019_NORCALRVOS2004_V12023-09-01",2023,c(NA, NA)
"20235625109003B1",2023,c(NA, NA)
"CA_BKFO_ESR_2023_FrenchUnburned-24_V12023-09-01",2023,c(NA, NA)
"CO_SLVFO_LUP_2020_HILL-026_V22023-09-01",2023,c(NA, NA)
"ID_JFO_LUP_2023_BSWM2023-NR-001_V12023-09-01",2023,c(NA, NA)
"20234137272023B1",2023,c(NA, NA)
"CO_LSFO_LUP_2021_LSFO2021-091_V22023-09-01",2023,c(NA, NA)
"CA_BIFO_LUP_2023_BIFO2023-002_V22023-09-01",2023,c(NA, NA)
"20234145404829B1",2023,c(NA, NA)
"20234137402813B2",2023,c(NA, NA)
"AZ_LSFO_RANGE_2023_B-GU-1_V12023-09-01",2023,c(NA, NA)
"NM_RFO_FUELS_TRGT_2023_GarciaFlatsTreated_V12023-09-01",2023,c(NA, NA)
"MT_DFO_WTRSHD_2023_SC-040_V12023-09-01",2023,c(NA, NA)
"MT_SDFO_LUP_2022_SDFO2022-097_V12023-09-01",2023,c(NA, NA)
"AZ_ASDO_LUP_2021_ASDO2021-152_V12023-09-01",2023,c(NA, NA)
"CO_WRFO_LUP_2021_WRFO2021-127_V22023-09-01",2023,c(NA, NA)
"OR_BAFO_2021_BFO2021-023_V12023-09-01",2023,c(NA, NA)
"ID_USFO_LUP_2023_USFO2023-007_V22023-09-01",2023,c(NA, NA)
"UT_CoCDO_HAF_2018_SH-277_V12023-09-01",2023,c(NA, NA)
"CO_KFO_LUP_2021_KFO2021-NR-029_V12023-09-01",2023,c(NA, NA)
"2023327100419B1",2023,c(NA, NA)
"OR_VADO_RNA_2023_SBulCanBuf-01_V12023-09-01",2023,c(NA, NA)
"MT_NCMD_LUP_2022_KSU-420_V12023-09-01",2023,c(NA, NA)
"20233525201713B2",2023,c(NA, NA)
"ID_OFO_LUP_2022_SD-2022-NR-003_V12023-09-01",2023,c(NA, NA)
"20233227202705B1",2023,c(NA, NA)
"2023412202310B1",2023,c(NA, NA)
"UT_MNFO_LUP_2023_MNFO2023-014_V12023-09-01",2023,c(NA, NA)
"20231611101407B1",2023,c(NA, NA)
"20235623200101B1",2023,c(NA, NA)
"20233233100313B2",2023,c(NA, NA)
"CO_WRFO_LUP_2021_WRFO2021-131_V22023-09-01",2023,c(NA, NA)
"ID_SAFO_LUP_2023_SAFO2023-012_V22023-09-01",2023,c(NA, NA)
"MT_BIFO_LUP_2023_INT-PMWH-tnWd-047_V12023-09-01",2023,c(NA, NA)
"AZ_ASDO_LUP_2021_ASDO2021-129_V12023-09-01",2023,c(NA, NA)
"20238109200808B3",2023,c(NA, NA)
"OR_VADO_ESR_2023_VINESHILL-AS-03_V12023-09-01",2023,c(NA, NA)
"OR_MFO_2021_MFO2021-230_V12023-09-01",2023,c(NA, NA)
"MT_NCMD_AIMLite_2023_GFO-002_V12023-09-01",2023,c(NA, NA)
"NM_LCDO_Allotments_2023_01072_R041XB211AZ_V12023-09-01",2023,c(NA, NA)
"ID_BFO_LUP_2022_Other-255_V12023-09-01",2023,c(NA, NA)
"20235325200214B2",2023,c(NA, NA)
"AZ_TFO_LUP-SUP_2023_MG-SUP-002_V12023-09-01",2023,c(NA, NA)
"CO_UFO_LUP_2023_UFO2023-017_V22023-09-01",2023,c(NA, NA)
"ID_SHFO_LUP_2023_BSWD-001_V12023-09-01",2023,c(NA, NA)
"20235635101119B1",2023,c(NA, NA)
"UT_FFO_LUP_2022_FFO2022-045_V12023-09-01",2023,c(NA, NA)
"UT_MBFO_LUP_2023_MBFO2023-NR-014_V12023-09-01",2023,c(NA, NA)
"CA_ELFO_DryVal_2022_DryValleyRimTreatmentArea2021-20_V22023-09-01",2023,c(NA, NA)
"WY_CAFO_LUP_2022_CAFO2022-NR-055_V12023-09-01",2023,c(NA, NA)
"UT_MNFO_LUP_2023_MNFO2023-005_V12023-09-01",2023,c(NA, NA)
"CO_RGFO_LUP_2022_PJ-247_V12023-09-01",2023,c(NA, NA)
"ID_JFO_LUP_2023_BSWM2023-005_V22023-09-01",2023,c(NA, NA)
"OR_MFO_2021_MFO2021-265_V12023-09-01",2023,c(NA, NA)
"MT_NCMD_LUP_2022_CC-450_V12023-09-01",2023,c(NA, NA)
"NM_SFO_VevaRosa_TRT_2023_VevaRosa-Trt2_V12023-09-01",2023,c(NA, NA)
"ID_SAFO_LUP_2023_SAFO2023-046_V22023-09-01",2023,c(NA, NA)
"WY_CAFO_TARGETED_2023_CAFO2023-T-17_V12023-09-01",2023,c(NA, NA)
"AZ_TFO_LUP_2020_LC-138_V12023-09-01",2023,c(NA, NA)
"NM_FFO_LUP_2020_SAND-337_V12023-09-01",2023,c(NA, NA)
"ID_PFO_LUP_2023_PFO2023-035_V22023-09-01",2023,c(NA, NA)
"20235637102514B1",2023,c(NA, NA)
"20234923200607B2",2023,c(NA, NA)
"UT_PFO_LUP_2023_PFO2023-015_V12023-09-01",2023,c(NA, NA)
"CA_RDFO_Graze_2022_IronGate-002_V12023-09-01",2023,c(NA, NA)
"WY_LFO_Targeted_2023_LFO2022-T-19_V12023-09-01",2023,c(NA, NA)
"CA_BKFO_ESR_2023_PeakBurned-03_V12023-09-01",2023,c(NA, NA)
"NM_FFO_FUELS_TRGT_2023_JogCanyon-1_V12023-09-01",2023,c(NA, NA)
"OR_LVFO_2021_LFO2021-148_V22023-09-01",2023,c(NA, NA)
"WY_LFO_LUP_2022_LFO2022-059_V12023-09-01",2023,c(NA, NA)
"20234145394518B2",2023,c(NA, NA)
"MT_MCFO_LUP_2023_MCFO2022-107_V12023-09-01",2023,c(NA, NA)
"NM_RPFO_LUP_2022_RPFO2022-NR-014_V12023-09-01",2023,c(NA, NA)
"AZ_TFO_LCNCA_VEGTRT_2019_VEGTRT-04_V22023-09-01",2023,c(NA, NA)
"UT_VFO_LUP_2022_HAB-040_V12023-09-01",2023,c(NA, NA)
"UT_WDDO_HAF_2022_WDDOHAF2022-048_V12023-09-01",2023,c(NA, NA)
"CO_KFO_LUP_2021_KFO2021-NR-032_V12023-09-01",2023,c(NA, NA)
"20234125302924B1",2023,c(NA, NA)
"MT_BFO_LUP_2023_BFO2023-08_V12023-09-01",2023,c(NA, NA)
"20234137382324B2",2023,c(NA, NA)
"2023671202904B2",2023,c(NA, NA)
"NM_RFO_LUP_2023_RFO2023-007_V12023-09-01",2023,c(NA, NA)
"AZ_KFO_FUEL_2023_Browse-16_V12023-09-01",2023,c(NA, NA)
"UT_VFO_HAF_2022_GRSG_HAB-108_V12023-09-01",2023,c(NA, NA)
"OR_BOFO_Fuels_2023_MarHol-07_V12023-09-01",2023,c(NA, NA)
"CO_RGFO_LUP_2022_RA-039_V12023-09-01",2023,c(NA, NA)
"OR_VADO_Fuels_2023_NWM-2020-EB-MP-11_V32023-09-01",2023,c(NA, NA)
"MT_NCMD_LUP_2022_BC-667_V12023-09-01",2023,c(NA, NA)
"AZ_HFO_WTRSHD2_2023_HFO2023-02_V12023-09-01",2023,c(NA, NA)
"CO_GFO_LUP_2020_Alpine-289_V12023-09-01",2023,c(NA, NA)
"ID_USFO_LUP_2023_USFO2023-037_V22023-09-01",2023,c(NA, NA)
"20233233104709B2",2023,c(NA, NA)
"CO_SWDO_ESR_2022_BullDraw_WS-03_V42023-09-01",2023,c(NA, NA)
"CA_RDFO_Fuels_2023_Westside-Fuels-Untreated-06_V12023-09-01",2023,c(NA, NA)
"CO_SWDO_Fuels_2022_Sapinero_Mesa-1_V12023-09-01",2023,c(NA, NA)
"OR_VADO_ESR_2023_BIG_GRASSY_NR-04_V42023-09-01",2023,c(NA, NA)
"MT_NCMD_LUP_2022_COMB-006_V22023-09-01",2023,c(NA, NA)
"AZ_SFO_LUP_2021_SFO2021-135_V12023-09-01",2023,c(NA, NA)
"NM_FFO_FUELS_TRGT_2023_TankMountain-2_V12023-09-01",2023,c(NA, NA)
"UT_WDDO_HAF_2022_WDDOHAF2022-NR-030_V12023-09-01",2023,c(NA, NA)
"CO_UFO_LUP_2023_UFO2023-014_V22023-09-01",2023,c(NA, NA)
"CA_NCDO_LUP_2019_Observation388_V22023-09-01",2023,c(NA, NA)
"WY_WFO_LUP_2022_WFO2022-056_V22023-09-01",2023,c(NA, NA)
"CO_RGFO_LUP_2022_RA-032_V12023-09-01",2023,c(NA, NA)
"WY_RFO_LUP_2021_RFO2021-108_V22023-09-01",2023,c(NA, NA)
"20233215202503B2",2023,c(NA, NA)
"ID_BFO_LUP_2022_BigWD-087_V22023-09-01",2023,c(NA, NA)
"MT_BIFO_LUP_2023_UYPP-fLo-50_V12023-09-01",2023,c(NA, NA)
"NM_SFO_LUP_2020_GRVL-224_V12023-09-01",2023,c(NA, NA)
"20231637105404B2",2023,c(NA, NA)
"UT_VFO_LUP_2022_HAB-041_V12023-09-01",2023,c(NA, NA)
"UT_SLFO_ESR_2023_BS-1_V12023-09-01",2023,c(NA, NA)
"20235637103915B2",2023,c(NA, NA)
"MT_DFO_WTRSHD_2023_MD-001_V22023-09-01",2023,c(NA, NA)
"CA_CDCA_LUP_2022_CRCD2022-NR-050_V12023-09-01",2023,c(NA, NA)
"ID_BFO_LUP_2022_Black-NR-002_V12023-09-01",2023,c(NA, NA)
"AZ_LHFO_Group1_2023_LHFO2023-030_V12023-09-01",2023,c(NA, NA)
"NM_CFO_FUELS_TRGT_2023_Fuels_5_V12023-09-01",2023,c(NA, NA)
"MT_DFO_WTRSHD_2023_SC-043_V12023-09-01",2023,c(NA, NA)
"CO_WRFO_LUP_2021_WRFO2021-136_V32023-09-01",2023,c(NA, NA)
"MT_DFO_WTRSHD_2023_SC-016_V22023-09-01",2023,c(NA, NA)
"WY_COFO_LUP_2022_COFO2022-032_V12023-09-01",2023,c(NA, NA)
"MT_NCMD_LUP_2022_MLT-095_V12023-09-01",2023,c(NA, NA)
"20233513201308B2",2023,c(NA, NA)
"ID_OFO_AIMTrend_2023_05S05W19A_V12023-09-01",2023,c(NA, NA)
"CO_TRFO_LUP_2023_TRFO2023-044_V22023-09-01",2023,c(NA, NA)
"ID_SHFO_LUP_2023_OT-007_V22023-09-01",2023,c(NA, NA)
"WY_RSFO_LUP_2023_RSFO2023-008_V22023-09-01",2023,c(NA, NA)
"CO_GJFO_LUP_2021_GJFO2021-070_V22023-09-01",2023,c(NA, NA)
"CA_NCDO_LUP_2019_NORCALRV1354_V12023-09-01",2023,c(NA, NA)
"MT_MCFO_LUP_2023_MCFO2022-122_V12023-09-01",2023,c(NA, NA)
"MT_NCMD_LUP_2022_NWB-349_V12023-09-01",2023,c(NA, NA)
"NM_RPFO_LUP_2022_RPFO2022-095_V12023-09-01",2023,c(NA, NA)
"ID_BFO_LUP_2022_LowCM-177_V12023-09-01",2023,c(NA, NA)
"NM_FFO_FUELS_TRGT_2023_WestNavajo-1_V12023-09-01",2023,c(NA, NA)
"ID_PFO_LUP_2023_PFO2023-037_V22023-09-01",2023,c(NA, NA)
"WY_RSFO_RC_2023_RSFO2023-RC-2-03_V12023-09-01",2023,c(NA, NA)
"OR_MEDO_CSNM_2023_GRIZZ-10_V12023-09-01",2023,c(NA, NA)
"20235617102609B2",2023,c(NA, NA)
"2023625200802B2",2023,c(NA, NA)
"ID_JFO_LUP_2023_AS2023-002_V22023-09-01",2023,c(NA, NA)
"2023329204704B2",2023,c(NA, NA)
"ID_JFO_LUP_2023_BSWD2023-006_V22023-09-01",2023,c(NA, NA)
"OR_LVFOPAC_2021_BE-010_V12023-09-01",2023,c(NA, NA)
"NM_RFO_LUP_2023_RFO2023-NR-013_V12023-09-01",2023,c(NA, NA)
"MT_DFO_WTRSHD_2023_SC-019_V22023-09-01",2023,c(NA, NA)
"WY_BFO_LUP_2022_BFO2022-NR-058_V12023-09-01",2023,c(NA, NA)
"20235637107617B2",2023,c(NA, NA)
"UT_RFO_LUP_2023_RFO2023-NR-003_V12023-09-01",2023,c(NA, NA)
"20233211102719B2",2023,c(NA, NA)
"2023629204314B2",2023,c(NA, NA)
"ID_OFO_AIMTrend_2023_06S04W35_V12023-09-01",2023,c(NA, NA)
"CA_NCDO_LUP_2019_NORCALRVOS1011_V12023-09-01",2023,c(NA, NA)
"20231633106913B2",2023,c(NA, NA)
"20235623103814B2",2023,c(NA, NA)
"AZ_KFO_LUP_2021_KFO2021-053_V12023-09-01",2023,c(NA, NA)
"MT_BIFO_LUP_2023_INT-PMWH-tnWd-062_V12023-09-01",2023,c(NA, NA)
"AZ_ASDO_LUP_2021_ASDO2021-182_V12023-09-01",2023,c(NA, NA)
"OR_MFO_2021_MFO2021-267_V12023-09-01",2023,c(NA, NA)
"NM_LCDO_Allotments_2023_01084_R042BB014NM_V12023-09-01",2023,c(NA, NA)
"ID_OFO_LUP_2022_LowWD-2022-NR-003_V12023-09-01",2023,c(NA, NA)
"OR_WFO_ESR_2023_WA_ESR_BZ-3-5_V32023-09-01",2023,c(NA, NA)
"20231613200418B2",2023,c(NA, NA)
"WY_LFO_LUP_2022_LFO2022-062_V12023-09-01",2023,c(NA, NA)
"UT_CoCDO_INTS_HPV_2023_Hamlin_PineValley2023-20_V12023-09-01",2023,c(NA, NA)
"23052312011949792023-09-01",2023,c(NA, NA)
"UT_RFO_LUP_2023_RFO2023-002_V12023-09-01",2023,c(NA, NA)
"ID_BDO_TriStateFuels_2023_FY23-019_V12023-09-01",2023,c(NA, NA)
"NM_SFO_LUP_2020_FUP-173_V12023-09-01",2023,c(NA, NA)
"ID_CHFO_LUP_2023_CHFO2023-NR-008_V12023-09-01",2023,c(NA, NA)
"WY_CAFO_TARGETED_2023_CAFO2023-T-07_V12023-09-01",2023,c(NA, NA)
"WY_RSFO_RC_2023_RSFO2023-RC-1-04_V12023-09-01",2023,c(NA, NA)
"UT_WDDO_HAF_2022_WDDOHAF2022-NR-027_V12023-09-01",2023,c(NA, NA)
"WY_CAFO_LUP_2022_CAFO2022-024_V22023-09-01",2023,c(NA, NA)
"CA_BKFO_ESR_2023_FrenchBurned-11_V12023-09-01",2023,c(NA, NA)
"2023821200513B2",2023,c(NA, NA)
"20231673104305B1",2023,c(NA, NA)
"20234137241825B2",2023,c(NA, NA)
"OR_MFO_2021_MFO2021-249_V22023-09-01",2023,c(NA, NA)
"OR_LVFO_2021_LFO2021-167_V22023-09-01",2023,c(NA, NA)
"AZ_LSFO_LUP_2022_LSFO2022-033_V12023-09-01",2023,c(NA, NA)
"MT_SDFO_LUP_2022_SDFO2022-086_V12023-09-01",2023,c(NA, NA)
"AZ_ASDO_LUP_2021_ASDO2021-140_V12023-09-01",2023,c(NA, NA)
"UT_CCFO_LUP_2017_MS-233_V12023-09-01",2023,c(NA, NA)
